       2 :        2 - primesum
       3 :        5 - primesum
       5 :       10
       7 :       17 - primesum
      11 :       28
      13 :       41 - primesum
      17 :       58
      19 :       77
      23 :      100
      29 :      129
      31 :      160
      37 :      197 - primesum
      41 :      238
      43 :      281 - primesum
      47 :      328
      53 :      381
      59 :      440
      61 :      501
      67 :      568
      71 :      639
      73 :      712
      79 :      791
      83 :      874
      89 :      963
      97 :     1060
     101 :     1161
     103 :     1264
     107 :     1371
     109 :     1480
     113 :     1593
     127 :     1720
     131 :     1851
     137 :     1988
     139 :     2127
     149 :     2276
     151 :     2427
     157 :     2584
     163 :     2747
     167 :     2914
     173 :     3087
     179 :     3266
     181 :     3447
     191 :     3638
     193 :     3831
     197 :     4028
     199 :     4227
     211 :     4438
     223 :     4661
     227 :     4888
     229 :     5117
     233 :     5350
     239 :     5589
     241 :     5830
     251 :     6081
     257 :     6338
     263 :     6601
     269 :     6870
     271 :     7141
     277 :     7418
     281 :     7699 - primesum
     283 :     7982
     293 :     8275
     307 :     8582
     311 :     8893 - primesum
     313 :     9206
     317 :     9523
     331 :     9854
     337 :    10191
     347 :    10538
     349 :    10887
     353 :    11240
     359 :    11599
     367 :    11966
     373 :    12339
     379 :    12718
     383 :    13101
     389 :    13490
     397 :    13887
     401 :    14288
     409 :    14697
     419 :    15116
     421 :    15537
     431 :    15968
     433 :    16401
     439 :    16840
     443 :    17283
     449 :    17732
     457 :    18189
     461 :    18650
     463 :    19113
     467 :    19580
     479 :    20059
     487 :    20546
     491 :    21037
     499 :    21536
     503 :    22039 - primesum
     509 :    22548
     521 :    23069
     523 :    23592
     541 :    24133 - primesum
     547 :    24680
     557 :    25237 - primesum
     563 :    25800
     569 :    26369
     571 :    26940
     577 :    27517
     587 :    28104
     593 :    28697 - primesum
     599 :    29296
     601 :    29897
     607 :    30504
     613 :    31117
     617 :    31734
     619 :    32353 - primesum
     631 :    32984
     641 :    33625
     643 :    34268
     647 :    34915
     653 :    35568
     659 :    36227
     661 :    36888
     673 :    37561 - primesum
     677 :    38238
     683 :    38921 - primesum
     691 :    39612
     701 :    40313
     709 :    41022
     719 :    41741
     727 :    42468
     733 :    43201 - primesum
     739 :    43940
     743 :    44683 - primesum
     751 :    45434
     757 :    46191
     761 :    46952
     769 :    47721
     773 :    48494
     787 :    49281
     797 :    50078
     809 :    50887
     811 :    51698
     821 :    52519
     823 :    53342
     827 :    54169
     829 :    54998
     839 :    55837 - primesum
     853 :    56690
     857 :    57547
     859 :    58406
     863 :    59269
     877 :    60146
     881 :    61027 - primesum
     883 :    61910
     887 :    62797
     907 :    63704
     911 :    64615
     919 :    65534
     929 :    66463 - primesum
     937 :    67400
     941 :    68341
     947 :    69288
     953 :    70241 - primesum
     967 :    71208
     971 :    72179
     977 :    73156
     983 :    74139
     991 :    75130
     997 :    76127
    1009 :    77136
    1013 :    78149
    1019 :    79168
    1021 :    80189
    1031 :    81220
    1033 :    82253
    1039 :    83292
    1049 :    84341
    1051 :    85392
    1061 :    86453 - primesum
    1063 :    87516
    1069 :    88585
    1087 :    89672
    1091 :    90763
    1093 :    91856
    1097 :    92953
    1103 :    94056
    1109 :    95165
    1117 :    96282
    1123 :    97405
    1129 :    98534
    1151 :    99685
    1153 :   100838
    1163 :   102001 - primesum
    1171 :   103172
    1181 :   104353
    1187 :   105540
    1193 :   106733
    1201 :   107934
    1213 :   109147 - primesum
    1217 :   110364
    1223 :   111587
    1229 :   112816
    1231 :   114047
    1237 :   115284
    1249 :   116533 - primesum
    1259 :   117792
    1277 :   119069 - primesum
    1279 :   120348
    1283 :   121631 - primesum
    1289 :   122920
    1291 :   124211
    1297 :   125508
    1301 :   126809
    1303 :   128112
    1307 :   129419 - primesum
    1319 :   130738
    1321 :   132059 - primesum
    1327 :   133386
    1361 :   134747
    1367 :   136114
    1373 :   137487
    1381 :   138868
    1399 :   140267
    1409 :   141676
    1423 :   143099
    1427 :   144526
    1429 :   145955
    1433 :   147388
    1439 :   148827
    1447 :   150274
    1451 :   151725
    1453 :   153178
    1459 :   154637
    1471 :   156108
    1481 :   157589
    1483 :   159072
    1487 :   160559
    1489 :   162048
    1493 :   163541
    1499 :   165040
    1511 :   166551
    1523 :   168074
    1531 :   169605
    1543 :   171148
    1549 :   172697
    1553 :   174250
    1559 :   175809
    1567 :   177376
    1571 :   178947
    1579 :   180526
    1583 :   182109
    1597 :   183706
    1601 :   185307
    1607 :   186914
    1609 :   188523
    1613 :   190136
    1619 :   191755
    1621 :   193376
    1627 :   195003
    1637 :   196640
    1657 :   198297
    1663 :   199960
    1667 :   201627
    1669 :   203296
    1693 :   204989
